"","place3","Freq","lon","lat"
"1","오산시 누읍동 눕새로 ",1,127.0541559,37.1403633
"2","오산시 누읍동 성복교회",1,127.052972,37.140059
"3","오산시 누읍동 실버케어센터",1,127.0383479,37.1504463
"4","오산시 누읍동 633 ",1,127.0556532,37.1397432
"5","오산시 대림1단지",2,127.070807,37.141135
"6","오산시 대우아파트",14,127.0620282,37.1630022
"7","오산시 대원동-동규약국",1,127.0686391,37.1465877
"8","오산시 대원약국",6,127.0687778,37.1537257
"9","오산시 대호중",19,127.0569732,37.16228
"10","오산시 다온초등학교 ",2,127.0910872,37.1519616
"11","오산시 오원사거리",26,127.0686393,37.1423104
"12","오산시 오산대역 공영주차장 주",1,127.0605215,37.1696553
"13","오산시 오산대역더샵아파트 후문",61,127.0664149,37.168146
"14","오산시 오산대정문",1,127.061223,37.155809
"15","오산시 오산대후문",24,127.061223,37.155809
"16","오산시 오산동-양일교회",2,127.0742947,37.150311
"17","오산시 오산동-KT후문",2,127.0707499,37.1533924
"18","오산시 오산동 엘리시아",1,127.0680847,37.1440257
"19","오산시 오산동 역광장로",15,127.0677326,37.1452261
"20","오산시 오산동 역광장로 ",35,127.0677326,37.1452261
"21","오산시 오산동 역광장로83번길",11,127.0675265,37.151121
"22","오산시 오산동 오산로 ",20,127.0737052,37.1393116
"23","오산시 오산동 오산로240번길 부",1,127.0706918,37.1480939
"24","오산시 오산동 오산로272번길 부",6,127.0712881,37.1511407
"25","오산시 오산동 오산로290번길 부",6,127.0711517,37.1527406
"26","오산시 오산동 오산무도학원",2,127.0687925,37.1548743
"27","오산시 오산동 오산천로 ",17,127.0655193,37.1484174
"28","오산시 오산동 운천로",2,127.0761205,37.1518362
"29","오산시 오산동 운천로 ",3,127.0761205,37.1518362
"30","오산시 오산동 글라스바바안경",3,127.0683273,37.1491153
"31","오산시 오산동 경기대로 ",1,127.0752332,37.1512175
"32","오산시 오산동 동화마을유치원",1,127.076414,37.157038
"33","오산시 오산동 성호대로 ",3,127.0687291,37.1492245
"34","오산시 오산동 성호대로40번길",3,127.0652936,37.1478039
"35","오산시 오산동 성호대로50번길",17,127.0657783,37.1478196
"36","오산시 오산동 성호대로55번길",18,127.0678749,37.1507264
"37","오산시 오산동 성호대로93번길",14,127.071994,37.1518296
"38","오산시 오산동 꽃봄농약사",3,127.0690557,37.1537932
"39","오산시 오산동 청담한의원",1,127.0687501,37.1507261
"40","오산시 오산동 장우빌리지",1,127.0752332,37.1512175
"41","오산시 오산동 호텔도스",1,127.0675616,37.1495896
"42","오산시 오산시청 운암4단지 후문",22,127.0752773,37.1504762
"43","오산시 오산지구대",7,127.075916,37.147282
"44","오산시 오색시장 ",31,127.068496,37.152417
"45","오산시 우리은행 시청점 사거리",8,127.0611847,37.1551243
"46","오산시 우먼필 산부인과 ",9,127.0721666,37.1460878
"47","오산시 운암고 돌고래포차 ",1,127.0740737,37.1445891
"48","오산시 운암고등학교",1,127.0749997,37.1435881
"49","오산시 운암2단지 근린공원삼거",3,127.0769159,37.1546979
"50","오산시 우미아파트 교촌치킨 ",6,127.0682907,37.144669
"51","오산시 원동 대원동동사무소",2,127.0717224,37.1386165
"52","오산시 원동 대원로 ",4,127.0721851,37.146247
"53","오산시 원동 대원로15번길 ",1,127.0701486,37.1475577
"54","오산시 원동 마커스빌",2,127.0751107,37.1465322
"55","오산시 원동 예감쪽갈비 ",1,127.0739708,37.1414271
"56","오산시 원동 오산역 광장",4,127.067125,37.14581
"57","오산시 원동 오산로 ",1,127.0796619,37.1409837
"58","오산시 원동 오산로132번길 ",12,127.0719035,37.1385883
"59","오산시 원동 오산로190번길 ",3,127.0715645,37.143927
"60","오산시 원동 오산로198번길 ",3,127.0714258,37.1449029
"61","오산시 원동 오산로226번길 ",1,127.0710428,37.1470084
"62","오산시 원동 운암로 ",4,127.0771404,37.1527191
"63","오산시 원동 운천로 ",6,127.0761205,37.1518362
"64","오산시 원동 원동로 ",2,127.074434,37.1426465
"65","오산시 원동 원동로37번길 ",22,127.0705052,37.1447713
"66","오산시 원동 원동로7번동길 ",1,127.0701717,37.1434043
"67","오산시 원동 구룡돼지마을",1,127.0715331,37.1477518
"68","오산시 원동 국민은행",1,127.07475,37.14656
"69","오산시 원동 경기대로 ",14,127.0796619,37.1409837
"70","오산시 원동 공룡국수 옆 사거리",21,127.0749553,37.1377565
"71","오산시 원동 동부대로 ",1,127.0788174,37.1386831
"72","오산시 원동 동부대로436번길 부",1,127.0813943,37.1408047
"73","오산시 원동 동부대로437번길 부",1,127.0774747,37.1410563
"74","오산시 원동 서울어린이병원",2,127.0748052,37.1490041
"75","오산시 원동 서울어린이병원 ",1,127.0748052,37.1490041
"76","오산시 원동 아리수타워",9,127.0704169,37.1414494
"77","오산시 원동 아이더매장",1,127.0737098,37.143919
"78","오산시 원동 밝은안과 ",1,127.0691669,37.1462266
"79","오산시 원동 밀머리로 ",9,127.0768182,37.1384208
"80","오산시 원동 밀머리로1번길 ",6,127.0757323,37.141358
"81","오산시 원동 타이어뱅크오산점",4,127.0732134,37.1428216
"82","오산시 원동 타이어프로",1,127.0702126,37.1440758
"83","오산시 원동 타이어프로 ",1,127.0702126,37.1440758
"84","오산시 원동 태영아파트",2,127.0772219,37.1389499
"85","오산시 원동 컨벤션웨딩홀",5,127.0680847,37.1440257
"86","오산시 원동 이마트",37,127.0727154,37.1406271
"87","오산시 원동 푸르지오아파트후문",1,127.0830812,37.1380193
"88","오산시 원동 복개천 사거리",8,127.0693116,37.14403
"89","오산시 원동농협 건너편",9,127.073596,37.1381494
"90","오산시 원동초교 한솔아파트정문",1,127.0676951,37.1347557
"91","오산시 원일초교",5,127.0714022,37.1394337
"92","오산시 외삼미동 서동탄역더#",1,127.0641362,37.1909464
"93","오산시 궐리사 정문",4,127.0623857,37.1591978
"94","오산시 궐리사 주차장 ",5,127.0620561,37.1585583
"95","오산시 궐동-법원",18,127.0584088,37.1588653
"96","오산시 궐동 대호로117번길 ",5,127.0536223,37.1620978
"97","오산시 궐동 대호초등학교 ",1,127.0578581,37.1589769
"98","오산시 궐동 오줌장군사거리",1,127.0565011,37.1579194
"99","오산시 궐동 우리집양념통닭",1,127.063645,37.15956
"100","오산시 궐동 우남아파트",6,127.0550567,37.1626966
"101","오산시 궐동 우남제일부동산",4,127.0558166,37.1608817
"102","오산시 궐동 궐리사로 ",5,127.0594899,37.1590589
"103","오산시 궐동 궐리사로29번길 부",1,127.0576719,37.1609656
"104","오산시 궐동 궐리사로46번길 부",1,127.0565219,37.1589601
"105","오산시 궐동 궐동로 ",3,127.0580774,37.1577386
"106","오산시 궐동 궐동로69번서길 부",2,127.0624681,37.1576562
"107","오산시 궐동 사랑부동산",2,127.0555974,37.1547609
"108","오산시 궐동 새마을금고",1,127.0682447,37.1578662
"109","오산시 궐동 강남공인중개사 ",1,127.0640222,37.1584673
"110","오산시 궐동 세븐일레븐",1,127.0565844,37.1595859
"111","오산시 궐동 양평해장국 사거리",39,127.0568623,37.1557808
"112","오산시 궐동 법원로 ",3,127.0571951,37.1566371
"113","오산시 궐동 노틀담수녀원 옆",2,127.0561957,37.15317
"114","오산시 궐동 놀자노래연습장",10,127.0636641,37.1581031
"115","오산시 궐동 608-2 삼거리",6,127.0529515,37.1636318
"116","오산시 궐동 제3어린이공원",2,127.0713055,37.1473654
"117","오산시 궐동 제3어린이공원 ",2,127.0713055,37.1473654
"118","오산시 궐동 제일 하이빌",4,127.0549179,37.1608079
"119","오산시 궐동 정수가소곱창 ",3,127.0516874,37.161356
"120","오산시 궐동 정플라워",3,127.0551085,37.1608475
"121","오산시 궐동 칠갑산삼겹살 사거리",1,127.0577881,37.1577619
"122","오산시 궐동 조은빌",1,127.058108,37.1602938
"123","오산시 궐동 한국야쿠르트 ",63,127.0548902,37.1572806
"124","오산시 궐동 한성빌리지 주차장",39,127.0677777,37.1602526
"125","오산시 궐동 희성빌",2,127.0610007,37.1577528
"126","오산시 궐동 gs타운점",1,127.0539457,37.1621966
"127","오산시 금암동 오산대역로",3,127.0457663,37.1692358
"128","오산시 금암동 산 47-8 ",1,127.0408322,37.1743106
"129","오산시 금암동 산 73-1 ",1,127.0405566,37.1701913
"130","오산시 금암동 수청로 ",6,127.0508393,37.1750144
"131","오산시 금암동 백청우칼국수",2,127.0537788,37.1765134
"132","오산시 금암동 298 ",1,127.0437527,37.170063
"133","오산시 금암동 485-1,10단지",1,127.0453531,37.1750794
"134","오산시 금암동 496-3,9단지후문",2,127.0491457,37.1770537
"135","오산시 금암동 500-5,렛츠모바일",1,127.0453531,37.1750794
"136","오산시 금암동 505-1,태산부대찌개",1,127.0554364,37.1772477
"137","오산시 금암동 79대포",2,127.0513812,37.175346
"138","오산시 금암동 창의나라유치원",1,127.0496403,37.1714176
"139","오산시 금암동침례교회",6,127.0463905,37.177028
"140","오산시 가수동 가수로 ",1,127.0460989,37.1467762
"141","오산시 가수동 가수초등학교",1,127.0480022,37.1481427
"142","오산시 가수동 가수주공",5,127.0506965,37.145893
"143","오산시 가수동 305 ",1,127.0619417,37.1487991
"144","오산시 가장동 와이솔1공장 ",3,127.0381416,37.1605878
"145","오산시 가장동 379",1,127.0383156,37.1626615
"146","오산시 가장동 382-1 ",1,127.0395995,37.1650328
"147","오산시 가장동 406-2 ",1,127.0355799,37.1681342
"148","오산시 갈곶동-스위첸 사거리",2,127.0671952,37.1321172
"149","오산시 갈곶동 대원초등학교",1,127.071167,37.130479
"150","오산시 갈곶동 오산로 ",14,127.0720117,37.1295828
"151","오산시 갈곶동 오산로50번길 부",1,127.0697238,37.129575
"152","오산시 갈곶동 오산로62번길 부",2,127.0697977,37.1315838
"153","오산시 갈곶동 시립 푸른어린이집",4,127.0767576,37.1272636
"154","오산시 갈곶동 시립푸른어린이집",1,127.0767576,37.1272636
"155","오산시 갈곶동 언니커피",1,127.0712395,37.1289647
"156","오산시 갈곶동 남부대로362번길",1,127.0769722,37.1326189
"157","오산시 갈곶동 청호엘리시아",1,127.0822494,37.1295622
"158","오산시 갈곶동 지혜약국 골목",11,127.0688617,37.1332004
"159","오산시 갈곶동 kcc스위첸",3,127.0671952,37.1321172
"160","오산시 갈곶동 KCC일방통행 ",7,127.0671952,37.1321172
"161","오산시 고현동 남부대로 ",3,127.082711,37.1339145
"162","오산시 동탄더 정문 삼거리",1,127.0600685,37.1703135
"163","오산시 동탄더 후문 ",4,127.064284,37.168944
"164","오산시 동탄더정문",1,127.0600685,37.1703135
"165","오산시 서동 초평로 ",1,127.0438433,37.1441167
"166","오산시 세마역",1,127.0430124,37.1878476
"167","오산시 세마1단지사거리",2,127.0800822,37.1574199
"168","오산시 세마9단지후문",5,127.0491457,37.1770537
"169","오산시 세마타워",78,127.0418629,37.1861657
"170","오산시 세마초등학교 정문 삼거",6,127.0430124,37.1878476
"171","오산시 세교 본초한의원 ",29,127.0438564,37.1811384
"172","오산시 세교동 다이소",5,127.044086,37.1925905
"173","오산시 세교동 경기대로761번길",2,127.0464483,37.1862618
"174","오산시 세교동 독산성로 ",3,127.0289211,37.1821853
"175","오산시 세교동 롯데알미늄",1,127.0431124,37.1969144
"176","오산시 세교동 593 ",4,127.038805,37.1862582
"177","오산시 세교동 596-1 ",1,127.038805,37.1862582
"178","오산시 세교동 614,ADT무인주차장",1,127.038805,37.1862582
"179","오산시 세교5단지사거리",6,127.0458628,37.1758615
"180","오산시 세교5단지롯데슈퍼",12,127.0458349,37.1773613
"181","오산시 세교6단지 ",1,127.0449739,37.1789444
"182","오산시 세교9단지 후문 상가도로",150,127.0487236,37.177278
"183","오산시 센트하임 ",32,127.0534909,37.1598558
"184","오산시 센트하임아파트",6,127.0534804,37.1598596
"185","오산시 수목원로",1,127.048516,37.1581171
"186","오산시 수청동  물향기지하차도상부/안전지대-각도상이",1,127.0567084,37.166561
"187","오산시 수청동 오산대역 입구",28,127.063103,37.169296
"188","오산시 수청동 내삼미로 ",3,127.0679533,37.1645681
"189","오산시 수청동 내삼미로79번길",22,127.0651094,37.1702185
"190","오산시 수청동 내삼미로80번길",2,127.0679533,37.1645681
"191","오산시 수청동 613,홈플러스",4,127.0615097,37.1701788
"192","오산시 수청동 619-1 ,할리스커피",1,127.0652761,37.170187
"193","오산시 수청동 619-10,GS마트",4,127.0615097,37.1701788
"194","오산시 수청동 619-4,스타부동산",1,127.0680998,37.1657235
"195","오산시 수청동 640-2,할리스커피",4,127.0652761,37.170187
"196","오산시 수청동 640-3,할리스커피",8,127.0652761,37.170187
"197","오산시 수청동 640-4,스타부동산",1,127.0680998,37.1657235
"198","오산시 수청동 청학로 ",19,127.0618011,37.1602237
"199","오산시 수청동 좋은아이 어린이집",7,127.0608894,37.1646409
"200","오산시 수청동 좋은아이어린이집",2,127.0608894,37.1646409
"201","오산시 수청동 행운부동산",2,127.0680998,37.1657235
"202","오산시 수청동 할리스커피 ",1,127.0652761,37.170187
"203","오산시 수청동 현충로 ",1,127.0727171,37.162831
"204","오산시 시티자이 1단지 후문",5,127.0892474,37.1488377
"205","오산시 시티자이 201동 ",4,127.093103,37.1509862
"206","오산시 아이러브안경",17,127.062657,37.1577014
"207","오산시 양산동-한신대  사거리",3,127.0225987,37.1933281
"208","오산시 양산동 세남로 ",3,127.0370699,37.1933479
"209","오산시 양산동 양산로398번길",4,127.0309538,37.1921924
"210","오산시 양산동 은혜와비전교회",2,127.0669709,37.2105243
"211","오산시 양산동 한신대길 ",2,127.0228737,37.1956442
"212","오산시 어울림(복개천) 사거리",5,127.069106,37.1439995
"213","오산시 어울림(북개천) 사거리",2,127.0314534,37.1909183
"214","오산시 물향기지하도",10,127.0567084,37.166561
"215","오산시 내삼미동 오산대역로",3,127.0613099,37.1793896
"216","오산시 내삼미동 삼미로",1,127.0696052,37.1720638
"217","오산시 내삼미동 수청로 ",4,127.0508393,37.1750144
"218","오산시 내삼미동 수청로50번길",3,127.0575118,37.1753557
"219","오산시 내삼미동 수청어린이집",2,127.0549453,37.1742229
"220","오산시 내삼미동 물향기유치원",1,127.0548619,37.1757783
"221","오산시 내삼미동 내삼미로 ",2,127.0679533,37.1645681
"222","오산시 내삼미동 임마누엘교회",2,127.0563165,37.1767003
"223","오산시 내삼미동 임마누엘교회 ",4,127.0563165,37.1767003
"224","오산시 내삼미동물향기유치원",1,127.0548619,37.1757783
"225","오산시 남촌동-남촌대교",6,127.0627785,37.1495316
"226","오산시 유시티상황실",37,127.0772212,37.1498096
"227","오산시 유탑유블레스  남측",11,127.0723695,37.1414858
"228","오산시 유탑유블레스  북측",6,127.0723695,37.1414858
"229","오산시 유탑유블레스 북측",16,127.0723695,37.1414858
"230","오산시 청학동 대호로 ",4,127.0560701,37.1567986
"231","오산시 청학동 가장로 ",1,127.0577308,37.1521058
"232","오산시 청학동 70-22,강남프라자",1,127.057048,37.1547112
"233","오산시 청학동 청학로 ",2,127.0577308,37.1521058
"234","오산시 청호-자이1단지 후문",1,127.0892474,37.1488377
"235","오산시 청호동 엘지로",4,127.0760584,37.1254388
"236","오산시 청호동 청호로",2,127.0818411,37.1291411
"237","오산시 컨벤션웨딩홀",11,127.0680847,37.1440257
"238","오산시 은계동 경기대로416번길",16,127.0709405,37.1619773
"239","오산시 은계동 현대2차아파트",2,127.0748048,37.1611693
"240","오산시 은계동 현충로72번길 부",3,127.0729705,37.1603491
"241","오산시 주공8단지입구",6,127.0755922,37.1444527
"242","오산시 지곶동 엘오티베큠",2,127.0327075,37.1796169
"243","오산시 지곶동 ㈜필옵틱스오산사옥",1,127.033092,37.1824819
"244","오산시 지곶동 세마초등학교",3,127.0430124,37.1878476
"245","오산시 지곶동 세마이편한A후문",4,127.0254489,37.1680742
"246","오산시 지곶동 이편한세상",1,127.0254489,37.1680742
"247","오산시 지곶동 이편한세상A후문",2,127.0254489,37.1680742
"248","오산시 지곶동 e편한세상 입구",2,127.0254489,37.1680742
"249","오산시 중앙동-세명프라자",28,127.070948,37.148994
"250","오산시 중앙동-성심약국",5,127.0699167,37.1485319
"251","오산시 중앙동-시청후문",10,127.0774713,37.1498279
"252","오산시 CGV 오산중앙",12,127.0709978,37.1419761
"253","오산시 한라아파트정문",22,127.049402,37.141722
"254","오산시 한양수자인 정문",1,127.0869536,37.1416891
"255","오산시 한양수자인APT 정문",1,127.0869536,37.1416891
"256","오산시 홈플러스  사거리",1,127.0615097,37.1701788
"257","오산시 화성초등학교",12,127.0685831,37.1644744
"258","오산시 힐스테이트아파트",9,127.0732224,37.1323117
"259","오산시 GS25오산타운점 ",62,127.0539457,37.1621966
"260","오산시 GS25궐동대호점 ",110,127.0535292,37.1583082
"261","오산시 GS25궐동승리점 ",77,127.0532515,37.1563084
"262","오산시 보건소 주차장입구쪽",2,127.0778322,37.1593062
"263","오산시 부산동-운천초교",4,127.0788601,37.1562811
"264","오산시 부산동 경기동로 ",4,127.0837024,37.1580598
"265","오산시 부산동 롯데물류센터",2,127.0938308,37.1571702
